순위,가수,노래제목
1,지코 (ZICO),SPOT! (feat. JENNIE)
2,IVE (아이브),해야 (HEYA)
3,아일릿(ILLIT),Magnetic
4,QWER,고민중독
5,(여자)아이들,나는 아픈 건 딱 질색이니까
6,aespa,Supernova
7,Crush,미안해 미워해 사랑해
8,이클립스 (ECLIPSE),소나기
9,TWS (투어스),첫 만남은 계획대로 되지 않아
10,이창섭,천상연
11,BABYMONSTER,SHEESH
12,임영웅,사랑은 늘 도망가
13,DAY6 (데이식스),예뻤어
14,비비 (BIBI),밤양갱
15,DAY6 (데이식스),한 페이지가 될 수 있게
16,임영웅,우리들의 블루스
17,임영웅,온기
18,아이유,Love wins all
19,임영웅,모래 알갱이
20,세븐틴 (SEVENTEEN),MAESTRO
21,임영웅,Home
22,임영웅,다시 만날 수 있을까
23,임영웅,Do or Die
24,임영웅,이제 나만 믿어요
25,임영웅,London Boy
26,임영웅,무지개
27,임영웅,Polaroid
28,임재현,비의 랩소디
29,임영웅,인생찬가
30,이무진,에피소드
31,임영웅,연애편지
32,태연 (TAEYEON),To. X
33,너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
34,LE SSERAFIM (르세라핌),EASY
35,NewJeans,Hype Boy
36,LE SSERAFIM (르세라핌),Smart
37,정국,Seven (feat. Latto) - Clean Ver.
38,DAY6 (데이식스),Welcome to the Show
39,IVE (아이브),I AM
40,박재정,헤어지자 말해요
41,aespa,Drama
42,임영웅,보금자리
43,RIIZE,Love 119
44,NewJeans,ETA
45,멜로망스,사랑인가 봐
46,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지)
47,아일릿(ILLIT),Lucky Girl Syndrome
48,PLAVE,WAY 4 LUV
49,NewJeans,Super Shy
50,"조이 (JOY), BIG Naughty (서동현)",내 입술 따뜻한 커피처럼
51,LE SSERAFIM (르세라핌),Perfect Night
52,범진,인사
53,성시경,너의 모든 순간
54,NewJeans,Ditto
55,세븐틴 (SEVENTEEN),청춘찬가
56,세븐틴 (SEVENTEEN),손오공
57,VIVIZ (비비지),MANIAC
58,아이유,홀씨
59,KISS OF LIFE,Midas Touch
60,유회승 (엔플라잉),그랬나봐
61,RIIZE,Impossible
62,10CM,봄눈
63,태연 (TAEYEON),꿈
64,방탄소년단,봄날
65,우디 (Woody),사막에서 꽃을 피우듯
66,순순희 (지환),슬픈 초대장
67,PLAVE,우리 영화
68,방탄소년단,Dynamite
69,aespa,Spicy
70,잔나비,주저하는 연인들을 위해
71,NewJeans,OMG
72,AKMU (악뮤),Love Lee
73,(여자)아이들,퀸카 (Queencard)
74,NewJeans,Attention
75,RIIZE,Get A Guitar
76,PLAVE,From
77,PLAVE,Watch Me Woo!
78,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)"
79,RIIZE,Siren
80,윤하 (YOUNHA),사건의 지평선
81,IVE (아이브),LOVE DIVE
82,AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
83,PLAVE,버추얼 아이돌
84,김민석,취중고백
85,순순희(기태),그대가 내 안에 박혔다(그내박)
86,Charlie Puth,I Don't Think That I Like Her
87,IVE (아이브),Baddie
88,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
89,"경서예지, 전건호",다정히 내 이름을 부르면
90,제니 (JENNIE),You & Me
91,헤이즈 (Heize),멈춰줘
92,(여자)아이들,Super Lady
93,임한별,사랑하지 않아서 그랬어
94,DK(디셈버),심(心)
95,세븐틴 (SEVENTEEN),음악의 신
96,우디 (Woody),혹시 세상에 혼자 남겨진 것 같다면
97,도영 (DOYOUNG),반딧불 (Little Light)
98,이클립스 (ECLIPSE),Run Run
99,폴킴,좋아해요
100,IVE (아이브),Kitsch
